image,cell_size,offset_x,offset_y,percent_diff,percent_diff_core,percent_diff_halo,percent_diff_outside,grid_ratio,warnings,mode,regions,ml_used,output_path,overlay_path
female-original.png,18,1,7,99.9687,99.9586,99.9766,99.9875,0.0203,,global,1,no,Z:\Code\.worktrees\wizard-art-player-guides\art_studies\player-unarmed-v12-simulated-pixels\reconstructed\female-original_reconstructed.png,
male-original.png,18,7,0,99.9849,99.985,99.9845,100.0,0.0203,Core mismatch 7.9% - inspect alignment.,global,1,no,Z:\Code\.worktrees\wizard-art-player-guides\art_studies\player-unarmed-v12-simulated-pixels\reconstructed\male-original_reconstructed.png,
